order_id|order_date|ship_date|platform|category|product_name|unit_price|quantity|gross_sales|campaign|voucher_code|discount_pct|discount_value|shipping_cost|net_sales|payment_method|customer_segment|region|stock_status|order_status|customer_rating|priority_flag
ORD01139|2024-09-15|09-21-2024|Shopee|Home Living|Vacuum Cleaner|285779|3|857337|Flash Sale|DISC10|10|85734|9000|771603| transfer bank |New|Medan|In Stock|completed|3.0|normal
ORD01113|04-05-2024|2024-04-06|Shopee|Sports|Dumbbell 5kg|139875|2|279750|Flash Sale|DISC10|10|27975|0|251775|E-Wallet|VIP|Makassar|In Stock|delivered|5.0|PRIORITY
ORD00066|01-17-2024|2024/01/24|Lazada|beauty|Skincare Serum|153791|6|922746|Mega Campaign|DISC20|20|184549|20000|738197|Credit Card|Returning|Bandung|Low Stock|delivered|4.0|Y
ORD01090|2024-03-01|05/03/2024|Shopee|Home_Living|Storage Box|339343|2|678686|Normal Day|NONE|0|0|12000|678686|Transfer Bank|Returning|Semarang|Low Stock|Delivered|5.0|N
ORD00212|2024-07-02|07-08-2024|TikTok Shop|Sports|Running Shoes|533649|1|533649|Normal Day|NONE|0|0|9000|533649|COD|New|Bandung|In Stock|delivered|5.0|No
ORD01675|07-09-2024|07-14-2024|Blibli|Beauty|Body Lotion|284795|3|854385|Flash Sale|DISC10|10|85438|12000|768947|Virtual Account|Returning|Semarang|In Stock|On Delivery||normal
ORD00451|28/11/2024|2024/12/04|Tokopedia|Home Living|Blender|1177079|1|1177079|Flash Sale|DISC10|10|117708|15000|1059371|Virtual Account|Returning|Semarang|In Stock|DELIVERED|5.0|No
ORD01882|2024-04-06|2024/04/10|lazada|Sports|Skipping Rope|458316|2|916632|Normal Day|NONE|0|0|25000|916632|Credit Card|Returning|Bekasi|In Stock|On Delivery||normal
ORD00129|27/04/2024|2024-04-28|Blibli|Fashion|Hoodie|232656|6|1395936|Flash Sale|DISC10|10|Rp 139.594|25000|1256342|Transfer Bank|Returning|Medan|Low Stock|Delivered|5.0|normal
ORD00782|2024/10/20|21/10/2024|Lazada|sports|Yoga Mat|634469|2|1268938|Normal Day|NONE|0|0|9000|1268938|COD|New|Makassar|In Stock|DELIVERED|5.0|
ORD00694|2024/06/18|2024-06-20|Shopee|Fashion|Women Dress|566889|1|566889|Normal Day|NONE|0|0|9000|566889|Virtual Account|Returning|Yogyakarta|In Stock|DELIVERED|3.0|
ORD01729|2024-11-20|11-25-2024|Lazada|Electronics|Phone Charger|1195245|2|2390490|Flash Sale|DISC10|10|239049|18000|2151441|Virtual Account|Returning|Medan|In Stock|DELIVERED|4.0|normal
ORD01147|2024/12/07|2024-12-11|Tokopedia|Home Living|Vacuum Cleaner|1053437|3|3160311|Clearance|CLEAR30|30|948093|12000|2212218|Transfer Bank|Returning|Surabaya|In Stock|Delivered|5.0|
ORD01832|14/03/2024|2024/03/17|Lazada|Home Living|Table Lamp|415324|8|3322592|Flash Sale|DISC10|10|332259|25000|2990333|E-Wallet|VIP|Bekasi|In Stock|Delivered|5.0|PRIORITY
ORD01464|14/06/2024|18/06/2024|TIKTOK SHOP|Beauty|Skincare Serum|317587|3|Rp 952.761|Clearance|CLEAR30|30|285828|20000|666933|COD|Returning|Yogyakarta|Low Stock|On Delivery||normal
ORD00423|12/12/2024|12-14-2024|TOKOPEDIA|Fashion|Hoodie|498368|2|996736|Clearance||30|299021|12000|-697715|E-Wallet|Returning|Yogyakarta|In Stock|Returned|2.0|
ORD01865|2024-09-18|2024-09-20|Tokopedia|Electronics|Wireless Earbuds|1092185|3|3276555|Payday Sale|DISC15|15|491483|15000|-2785072|Virtual Account|Returning|Jakarta|In Stock|RETUR|1.0|normal
ORD00964|12/02/2024|2024/02/19|TikTok Shop|Sports|Skipping Rope|Rp 524.141|3|1572423|Payday Sale|DISC15|15|235863|18000|1336560|Transfer Bank|Returning|Jakarta|In Stock|Delivered|5.0|N
ORD00415|2024/05/10|05-19-2024|Lazada|Sports|Yoga Mat|612255|10|6122550|Mega Campaign|DISC20|20|1224510|15000|4898040|COD|VIP|Semarang|In Stock|Delivered|5.0|Yes
ORD01467|10/10/2024|10-11-2024|Blibli|Electronics|Phone Charger|666942|2|1333884|Flash Sale|DISC10|10|133388|9000|1200496|Credit Card|Returning|Bekasi|In Stock|delivered|5.0|normal
ORD00528|22/04/2024|2024/04/28|Tokopedia|Beauty|Lip Tint|310254|1|310254|Flash Sale|DISC10|10|31025|25000|279229|COD|New|Bekasi|In Stock|completed|5.0|normal
ORD01545|27/06/2024|06-29-2024|Shopee|sports|Running Shoes|404361|2|808722|Normal Day|NONE|0|Rp 0|20000|Rp 808.722|Transfer Bank|Returning|Jakarta|In Stock|completed|4.0|
ORD00307|05-29-2024|2024/05/30|TikTok Shop|Home Living|Blender|1066410|1|1066410|Flash Sale|DISC10|10|106641|18000|959769|E-Wallet|Returning|Medan|Preorder|DELIVERED|5.0|N
ORD00980|2024/04/07|2024-04-13|Tokopedia|Sports|Running Shoes|241369|2|482738|Mega Campaign|DISC20|20|96548|25000|386190|Virtual Account|VIP|Semarang|In Stock|On Delivery||PRIORITY
ORD00030|2024-10-12|19/10/2024|Blibli|Fashion|Men T-Shirt|209816|4|839264|Mega Campaign|DISC20|20|167853|18000|671411|Virtual Account|New|Yogyakarta|In Stock|delivered|5.0|No
ORD01538|04-22-2024|27/04/2024|Lazada|Beauty|Sunscreen|138536|2|277072|Clearance|CLEAR30|30|83122|0|193950|Cash on Delivery|New|Medan|In Stock|completed|3.0|No
ORD01703|28/05/2024|06-03-2024|Blibli|Fashion|Hoodie|547116|3|1641348|Flash Sale|DISC10|10|164135|18000|1477213|credit card|New|Bekasi|In Stock|DELIVERED|4.0|
ORD00944|2024-03-29|2024-04-01|Blibli|Fashion|Women Dress|258105|3|774315|Normal Day|NONE|0|Rp 0|9000|774315|Bank Transfer|New|Semarang|In Stock|completed|4.0|N
ORD01234|2024/07/24|2024/07/26|Shopee|Electronics|Smartwatch|2306880|4|9227520|Flash Sale|DISC10|10|Rp 922.752|15000|8304768|Credit Card|New|Medan|In Stock|delivered|5.0|normal
ORD00480|2024-08-28|2024-09-03|Shopee|Beauty|Body Lotion|223373|2|446746|Clearance|CLEAR30|30|134024|18000|312722|E-Wallet|New|Bekasi|In Stock|DELIVERED|4.0|No
ORD00907|23/12/2024|30/12/2024|Lazada|Fashion|Men T-Shirt|564097|2|1128194|Mega Campaign|DISC20|20|225639|12000|902555|COD|Returning|Makassar|In Stock|Delivered|3.0|N
ORD00353|23/03/2024|2024/03/30|Blibli|Electronics|Smartwatch|341671|1|341671|Normal Day|NONE|0|Rp 0|12000|341671|Credit Card|VIP|Bandung|In Stock|delivered|5.0|Yes
ORD00355|16/05/2024|2024/05/20|Shopee|Fashion|Sneakers |73883|2|147766|Flash Sale|DISC10|10|14777|15000|132989|Credit Card|Returning|Bandung|In Stock|DELIVERED|4.0|
ORD01311|02/08/2024|2024/08/08|Shopee|Home Living|Vacuum Cleaner|143522|2|287044|Payday Sale|DISC15|15|43057|0|243987|E-Wallet|New|Surabaya|In Stock|delivered|5.0|normal
ORD00252|2024/09/04|2024-09-06|tokopedia|Beauty|Face Wash|151503|2|303006|Clearance|CLEAR30|30|90902|12000|212104|Credit Card|VIP|Jakarta|In Stock|Delivered|5.0|Yes
ORD00681|2024/05/06|05-10-2024|Blibli|Home Living|Rice Cooker|288102|3|864306|Normal Day|NONE|0|0|20000|864306|Transfer Bank|New|Jakarta|In Stock|DELIVERED|5.0|normal
ORD01456|2024/02/18|2024-02-25|Shopee|home living|Storage Box|344963|1|344963|Flash Sale|DISC10|10|Rp 34.496|9000|310467|Transfer Bank|New|Surabaya|In Stock|delivered|5.0|No
ORD01171|2024/01/17|23/01/2024|Blibli|Sports|Running Shoes|200422|8|1603376|Normal Day|NONE|0|0|25000|1603376|Transfer Bank|Returning|Jakarta|In Stock|DELIVERED|5.0|normal
ORD01573|2024/09/23|09-24-2024|Tokopedia|Fashion|Sneakers|527051|1|527051|Normal Day|NONE|0|0|0|527051|E-Wallet|New|Makassar|In Stock|Delivered|4.0|normal
ORD01815|10/10/2024|14/10/2024|Tokopedia|Beauty|Face Wash|75612|8|604896|Normal Day|NONE|0|0|25000|604896|COD|Returning|Bandung|In Stock|DELIVERED|4.0|
ORD01317|04-03-2024||Tokopedia|Sports|Running Shoes|Rp 692.354|6|4154124|Normal Day|NONE|0|0|25000|0|E-Wallet|Returning|Yogyakarta|Low Stock|CANCEL||N
ORD00057|17/06/2024|19/06/2024|Lazada|Sports|Cycling Gloves|687453|1|687453|Normal Day|NONE|0|0|0|687453|E-Wallet|New|Bandung|In Stock|completed|3.0|normal
ORD01781|05/02/2024|2024/02/07|Shopee|Sports|Dumbbell 5kg|182829|4|731316|Mega Campaign|DISC20|20|146263|9000|585053|E-Wallet|New|Yogyakarta|In Stock|completed|3.0|normal
ORD01531|2024-01-05||Shopee|Home_Living|Blender|1046390|1|1046390|Normal Day|NONE|0|0|15000|0|Credit Card|Returning|Bekasi|In Stock| cancelled ||normal
ORD01064|2024-01-25|2024-02-02|Blibli|Beauty|Lip Tint |321898|4|1287592|Mega Campaign|DISC20|20|257518|15000|1030074|COD|New|Makassar|In Stock|completed|5.0|
ORD01294|2024-10-30|11-03-2024|Shopee|Beauty|Body Lotion|208974|5|1044870|Flash Sale|DISC10|10|104487|9000|940383|Transfer Bank|New|Bekasi|Preorder|DELIVERED|3.0|No
ORD01888|09-02-2024|09-06-2024|Blibli|Beauty|Face Wash|287474|5|1437370|Clearance|CLEAR30|30|Rp 431.211|0|Rp 1.006.159|Credit Card|Returning|Bekasi|In Stock|Delivered|5.0|N
ORD01455|2024/03/11|15/03/2024|Shopee|Fashion|Sneakers|170493|4|681972|Flash Sale|DISC10|10|68197|15000|613775|Virtual Account|VIP|Surabaya|In Stock|Delivered|5.0|Yes
ORD01559|18/11/2024|11-21-2024|Shopee|Fashion|Hoodie|296318|5|1481590|Normal Day|NONE|0|0|18000|1481590|Virtual Account|New|Yogyakarta|Low Stock|Delivered|4.0|No
ORD00308|2024-06-19|2024/06/25|TikTok Shop|Home Living|Storage Box|788015|8|6304120|Mega Campaign|DISC20|20|1260824|20000|5043296|Credit Card|Returning|Jakarta|Low Stock|DELIVERED|5.0|Y
ORD00539|09-22-2024|2024/09/24|Blibli|SPORTS|Skipping Rope|668204|2|Rp 1.336.408|Flash Sale|DISC10|10|133641|20000|Rp 1.202.767|Transfer Bank|New|Surabaya|In Stock|Delivered|5.0|N
ORD00211|06-12-2024|2024/06/18|Tiktok Shop|Fashion|Men T-Shirt|379963|1|379963|Payday Sale|DISC15|15|56994|15000|-322969|Virtual Account|Returning|Yogyakarta|Preorder|RETUR|1.0|
ORD00975|2024-02-15|2024-02-20|TikTok Shop|Sports|Running Shoes|707709|6|4246254|Mega Campaign|DISC20|20|849251|18000|3397003|VIRTUAL ACCOUNT|Returning|Medan|In Stock|delivered|5.0|Yes
ORD01240|2024/12/12|12-13-2024|TikTok Shop|Beauty|Lip Tint|340366|1|340366|Clearance|CLEAR30|30|102110|9000|238256|Virtual Account|New|Jakarta|In Stock|delivered|4.0|No
ORD01982|11-16-2024|2024-11-21| tiktok shop |Fashion|Hoodie|514607|10|5146070|Flash Sale|DISC10|10|514607|18000|4631463|Virtual Account|Returning|Makassar|In Stock|completed||No
ORD00354|2024-10-03|04/10/2024|Lazada|Home Living|Blender |Rp 266.608|3|799824|Normal Day|NONE|0|0|0|799824|E-Wallet|New|Jakarta|Low Stock|completed||normal
ORD00071|09-28-2024|05/10/2024|Tokopedia|Beauty|Lip Tint|81998|3|245994|Flash Sale|DISC10|10|24599|20000|221395||New|Bekasi|In Stock|completed|5.0|normal
ORD01597|09/02/2024|2024/02/10|TikTok Shop|Home Living|Table Lamp|126820|2|Rp 253.640|Normal Day|NONE|0|0|25000|253640|Virtual Account|Returning|Makassar|In Stock|DELIVERED|3.0|normal
ORD01408|10-29-2024|11-07-2024|Blibli| Sports|Running Shoes|397572|4|1590288|Mega Campaign|DISC20|20|318058|15000|1272230|Transfer Bank|Returning|Medan|In Stock|completed|5.0|N
ORD00809|03-19-2024|27/03/2024|Lazada|Beauty|Sunscreen|272239|4|1088956|Mega Campaign|DISC20|20|217791|0|871165|COD|VIP|Yogyakarta|In Stock|Delivered|5.0|Y
ORD01789|19/10/2024|2024/10/20|Tokopedia|Fashion|Jeans|582611|6|3495666|Normal Day|NONE|0|0|12000|3495666|E-Wallet|Returning|Bandung|In Stock|completed|5.0|normal
ORD01042|2024/06/18|2024/06/24|Lazada| Sports|Yoga Mat|657101|5|3285505|Flash Sale|DISC10|10|328550|15000|2956955|Virtual Account|New|Bandung|In Stock|DELIVERED|4.0|No
ORD01056|02/06/2024|2024-06-06|Tokopedia| electronics |Power Bank|553730|1|553730|Flash Sale||10|55373|20000|498357|Transfer Bank|New|Jakarta|Low Stock|DELIVERED|4.0|No
ORD00322|02-17-2024||Tokopedia|beauty|Sunscreen|65476|10|654760|Normal Day|NONE|0|0|0|0|Transfer Bank|Returning|Medan|In Stock|Cancelled||No
ORD00803|09-10-2024||TOKOPEDIA|Fashion|Jeans|117431|4|469724|Flash Sale|DISC10|10|46972|0|422752|Transfer Bank|New|Bekasi|In Stock|delivered|5|N
ORD01458|04-02-2024|2024/04/05|Blibli|Sports|Cycling Gloves|808540|2|1617080|Payday Sale|DISC15|15|242562|18000|1374518|Transfer Bank|New|Bekasi|In Stock|DELIVERED|4.0|N
ORD00985|23/03/2024|28/03/2024|Tokopedia|Sports|Skipping Rope|589434|5|2947170|Normal Day|NONE|0|0|20000|2947170|Bank Transfer|Returning|Makassar|In Stock|delivered|4.0|N
ORD00728|2024-11-15|2024/11/20| tokopedia |Sports|Dumbbell 5kg|827887|2|1655774|Normal Day|NONE|0|0|12000|1655774|E-Wallet|New|Bandung|Low Stock|completed|4.0|No
ORD01903|2024/01/02|2024-01-06|Blibli| home living |Table Lamp|300106|3|900318|Payday Sale|DISC15|15|135048|12000|765270|virtual account|Returning|Medan|In Stock|Delivered|5.0|N
ORD01816|11-15-2024|2024-11-21|Shopee|Home Living|Blender|342875|1|342875|Mega Campaign|DISC20|20|68575|9000|274300|E-Wallet|New|Medan|Preorder|DELIVERED|3.0|No
ORD01419|11-23-2024|12-01-2024|TikTok Shop|Fashion|Jeans|89753|1|89753|Mega Campaign|DISC20|20|17951|20000|71802|E-Wallet|VIP|Medan|Preorder|Delivered|4.0|Yes
ORD01264|05-07-2024|2024/05/08|TikTok Shop|Home Living|Rice Cooker|222977|6|Rp 1.337.862|Normal Day|NONE|0|0|18000|1337862|Virtual Account|New|Surabaya|In Stock|DELIVERED|4.0|N
ORD01616|11-30-2024||Lazada|Beauty|Face Wash|251447|3|754341|Mega Campaign|DISC20|20|150868|0|-603473|Transfer Bank|Returning|Semarang|In Stock|RETUR|1.0|Yes
ORD01114|2024/01/03|2024/01/06|Blibli|Sports|Skipping Rope|198824|4|795296|Mega Campaign|DISC20|20|159059|0|636237|COD|New|Makassar|In Stock|completed|4.0|
ORD00544|03/02/2024|2024-02-09|Blibli|Beauty|Face Wash|173263|5|866315|Mega Campaign|DISC20|20|Rp 173.263|9000|693052|E-Wallet|Returning|Surabaya|In Stock|DELIVERED|4.0|Yes
ORD00351|2024/09/25|2024/09/26|SHOPEE|Electronics|Bluetooth Speaker|1554366|2|3108732|Clearance|CLEAR30|30|932620|0|2176112|Virtual Account|Returning|Bandung|Low Stock|Delivered|4.0|No
ORD00582|09-01-2024|03/09/2024|Shopee| Beauty|Lip Tint|58663|1|Rp 58.663|Clearance|CLEAR30|30|17599|15000|41064|Transfer Bank|Returning|Semarang|In Stock|delivered|4.0|N
ORD00987|04/08/2024||Tokopedia|Fashion|Jeans|208785|3|626355|Normal Day|NONE|0|0|18000|626355| cod |Returning|Semarang|In Stock|DELIVERED|4.0|No
ORD01203|2024-08-17|2024-08-23|Shopee|Fashion|Sneakers|240401|6|Rp 1.442.406|Mega Campaign|DISC20|20|288481|18000|Rp 1.153.925|Virtual Account|Returning|Jakarta|In Stock|completed|4.0|Y
ORD01418|2024/04/17|04-19-2024|Blibli|Beauty|Lip Tint|186669|3|560007|Normal Day|NONE|0|0|15000|560007|E-Wallet|New|Makassar|Low Stock|completed|3.0|normal
ORD00070|2024-02-01|02-08-2024|Shopee|Home_Living|Storage Box|980217|8|7841736|Mega Campaign|DISC20|20|1568347|0|6273389|COD|Returning|Bekasi|In Stock|On Delivery||normal
ORD01314|2024-07-26|2024/07/28|Tokopedia|Sports|Skipping Rope|831730|1|831730|Clearance|CLEAR30|30|249519|25000|582211|Virtual Account|Returning|Bekasi|In Stock|delivered|5.0|normal
ORD01963|12-02-2024|2024-12-08|Shopee|Electronics|Bluetooth Speaker|1319560|2|2639120|Normal Day|NONE|0|0|0|2639120|COD|New|Surabaya|In Stock|completed|3.0|No
ORD01859|24/06/2024|01/07/2024|Lazada|Home Living|Blender|Rp 1.097.958|2|2195916|Normal Day|NONE|0|0|20000|2195916|Virtual Account|New|Yogyakarta|Preorder|delivered||No
ORD01415|13/04/2024|04-20-2024|Blibli|Fashion|Jeans|516484|2|1032968|Flash Sale|DISC10|10|103297|9000|929671|Transfer Bank|Returning|Bekasi|In Stock|delivered|5.0|normal
ORD01948|2024-06-23|06-24-2024|Tokopedia|Home Living|Storage Box|780620|1|780620|Normal Day|NONE|0|0|20000|780620|Virtual Account|VIP|Jakarta|In Stock|DELIVERED|5.0|Y
ORD01068|2024-01-15|01-20-2024|Lazada|Electronics|Wireless Earbuds|821878|4|3287512|Payday Sale|DISC15|15|493127|25000|2794385|E-Wallet|New|Jakarta|In Stock|Delivered|5.0|normal
ORD01108|04-14-2024|2024/04/22| tiktok shop |Sports|Yoga Mat|72959|1|72959|Mega Campaign|DISC20|20|14592|9000|58367|VA|Returning|Bandung|In Stock|Shipped||Y
ORD01390|09/01/2024|12/01/2024| tokopedia |Fashion|Women Dress|135942|1|135942|Mega Campaign|DISC20||27188|0|108754|E-Wallet|New|Bekasi|In Stock|completed|3.0|Yes
ORD01704|08-18-2024|2024/08/23|Tokopedia| Beauty|Sunscreen|209002|2|418004|Clearance|CLEAR30|30|125401|18000|292603|COD|Returning|Semarang|In Stock|Delivered|5.0|N
ORD00100|2024/07/22|2024/07/26|Shopee|Beauty|Sunscreen|43586|1|43586|Payday Sale|DISC15|15|6538|18000|37048|Virtual Account|New|Semarang|In Stock|completed|5.0|normal
ORD00600|04/03/2024|09/03/2024|Lazada|Beauty|Lip Tint|33987|2|67974|Flash Sale|DISC10|10|6797|9000|61177|Transfer Bank|VIP|Jakarta|In Stock|completed|4.0|Y
ORD01343|09-14-2024|2024/09/19|Tokopedia|Beauty|Body Lotion|276797|2|553594|Mega Campaign|DISC20||110719|15000|442875|Virtual Account|Returning|Yogyakarta|In Stock|completed|3.0|PRIORITY
ORD00932|2024/10/29|2024-10-31|Tokopedia|Fashion|Sneakers|263313|3|789939|Clearance|CLEAR30|30|236982|9000|552957|Credit Card|Returning|Surabaya|Low Stock|delivered||N
ORD01746|04-17-2024|04-23-2024|Shopee|Beauty|Lip Tint|274375|2|548750|Flash Sale|DISC10|10|54875|20000|493875|Virtual Account|VIP|Yogyakarta|In Stock|DELIVERED|5.0|Y
ORD00428|2024-08-14|08-16-2024|Shopee|BEAUTY|Body Lotion|288467|6|1730802|Normal Day|NONE|0|0|25000|1730802|Virtual Account|Returning|Semarang|In Stock|delivered|5.0|normal
ORD01986|2024-09-25|2024/09/29|Lazada|Sports|Cycling Gloves|68296|1|68296|Normal Day|NONE|0|0|9000|68296|Credit Card|VIP|Makassar|Preorder|delivered|5.0|
ORD01023|20/01/2024|01-30-2024|Blibli|Electronics|Smartwatch|2404525|4|9618100|Mega Campaign|DISC20|20|Rp 1.923.620|18000|7694480|COD|Returning|Makassar|In Stock|delivered|5.0|PRIORITY
ORD01885|05-04-2024|05-07-2024|Tokopedia|Home Living|Vacuum Cleaner|348090|3|1044270|Clearance|CLEAR30|30|313281|25000|730989|COD|Returning|Makassar|Preorder| delivered |3.0|N
ORD01756|05-14-2024|2024-05-18|Tiktok Shop|Electronics|Phone Charger|776261|3|2328783|Flash Sale|DISC10|10|232878|15000|2095905|Transfer Bank|New|Yogyakarta|Preorder|DELIVERED|4.0|N
ORD00125|2024-02-09|2024-02-12|Blibli|Sports|Yoga Mat|197131|1|197131|Payday Sale|DISC15|15|29570|9000|167561|Virtual Account|VIP|Yogyakarta|In Stock|Delivered|5.0|Yes
ORD01967|11/08/2024|2024-08-12|Tokopedia|Fashion|Jeans|584897|4|2339588|Flash Sale|DISC10|10|233959|9000|2105629|E-Wallet|New|Yogyakarta|In Stock|Delivered|5.0|N
ORD00248|11/11/2024|11-18-2024|Tokopedia|Beauty|Body Lotion|195849|5|979245|Mega Campaign|DISC20|20|195849|0|783396|COD|Returning|Surabaya|Preorder|DELIVERED|5.0|Yes
ORD01306|08-25-2024|2024-08-28|Shopee|Electronics|Power Bank|417159|4|1668636|Flash Sale|DISC10|10|166864|0|1501772|Credit Card|New|Surabaya|In Stock|DELIVERED|5.0|
ORD01019|2024-11-30|2024-12-03|Blibli|Beauty|Skincare Serum|197878|4|791512|Mega Campaign|DISC20|20|158302|15000|633210|Credit Card|Returning|Semarang|In Stock|delivered|5.0|PRIORITY
ORD01211|04/10/2024|10/10/2024|Blibli| Beauty|Lip Tint|293535|2|587070|Flash Sale|DISC10|10|58707|0|528363|Bank Transfer|New|Makassar|Preorder| delivered |4.0|No
ORD00271|10-03-2024|10-08-2024|Shopee|Electronics|Phone Charger|1536635|2|3073270|Payday Sale|DISC15|15|460990|20000|2612280|Cash on Delivery|Returning|Surabaya|In Stock|On Delivery||N
ORD01194|29/08/2024|08/09/2024|Tokopedia|Sports|Cycling Gloves|643316|8|5146528|Mega Campaign|DISC20|20|1029306|20000|4117222|E-Wallet|Returning|Jakarta|Preorder|delivered|3|normal
ORD00969|05-01-2024|2024-05-04|Blibli|Home Living|Storage Box |1139133|3|3417399|Mega Campaign|DISC20|20|Rp 683.480|0|2733919|Transfer Bank|New|Medan|Preorder|DELIVERED|4.0|Yes
ORD00238|2024-07-12|15/07/2024|blibli|Electronics|Bluetooth Speaker|1250681|2|2501362|Normal Day|NONE|0|0|25000|Rp 2.501.362|COD|Returning|Jakarta|In Stock|DELIVERED|4.0|No
ORD01332|20/02/2024|24/02/2024|Blibli|Home Living|Vacuum Cleaner|462357|1|462357|Flash Sale|DISC10|10|46236|9000|416121|E-Wallet|Returning|Bekasi|Low Stock|delivered|4.0|No
ORD01024|2024-05-01|2024/05/03|Shopee|Sports|Cycling Gloves|331640|2|663280|Normal Day|NONE|0|0|12000|-663280|E-Wallet|VIP|Yogyakarta|In Stock|Returned|2.0|
ORD00213|2024-06-30|2024/07/04|Blibli|FASHION|Sneakers|417411|5|2087055|Normal Day|NONE|0|0|12000|2087055|E-Wallet|VIP|Yogyakarta|In Stock|Shipped||Yes
ORD01504|2024-08-15|2024-08-19|Blibli|Electronics|Wireless Earbuds|1320290|1|1320290|Normal Day|NONE|0|0|20000|1320290|COD|Returning|Surabaya|In Stock|On Delivery||normal
ORD01048|02-27-2024|2024/02/28|Shopee|Electronics|Bluetooth Speaker|Rp 174.007|2|348014|Normal Day|NONE|0|0|18000|Rp 348.014|COD|Returning|Surabaya|In Stock|delivered|5.0|normal
ORD01641|01-27-2024|29/01/2024|Shopee|Sports|Yoga Mat|Rp 202.254|3|606762|Normal Day|NONE|0|0|15000|606762|E-Wallet|New|Makassar|In Stock|DELIVERED|4.0|N
ORD01059|2024/07/24|01/08/2024|Shopee|Home Living|Table Lamp|216974|10|2169740|Mega Campaign|DISC20|20|433948|12000|1735792|Credit Card|Returning|Bekasi|In Stock|DELIVERED||PRIORITY
ORD01852|11-21-2024|22/11/2024|Shopee|Fashion|Sneakers|548746|3|1646238|Payday Sale|DISC15||246936|25000|1399302| credit card |Returning|Surabaya|In Stock|completed|5.0|N
ORD01727|07-06-2024||TikTok Shop|Beauty|Body Lotion|145775|1|145775|Normal Day|NONE|0|0|18000|0|E-Wallet|VIP|Bandung|In Stock|CANCEL||PRIORITY
ORD01554|2024-02-02|03/02/2024|TikTok Shop|Sports|Cycling Gloves|639387|4|2557548|Normal Day|NONE|0|0|25000|2557548|Transfer Bank|Returning|Bekasi|In Stock|delivered|4.0|N
ORD00515|2024-07-13|2024/07/15|Tokopedia|Home Living|Vacuum Cleaner |1058403|2|2116806|Payday Sale|DISC15|15|317521|12000|1799285|COD|New|Yogyakarta|Preorder|completed|4.0|No
ORD01387|2024-11-18|2024/11/25|Shopee|Sports|Dumbbell 5kg|767172|2|1534344|Mega Campaign|DISC20|20|306869|12000|1227475|Virtual Account|VIP|Bekasi|In Stock|DELIVERED|4.0|PRIORITY
ORD01272|2024/01/24|2024/01/28|Shopee|Beauty|Skincare Serum|249656|3|Rp 748.968|Flash Sale|DISC10|10|74897|12000|674071|Credit Card|Returning|Semarang|In Stock|completed||No
ORD01340|03-17-2024|18/03/2024|TikTok Shop|Home Living|Storage Box|Rp 1.134.276|3|3402828|Payday Sale|DISC15|15|510424|12000|2892404|Credit Card|Returning|Bekasi|Preorder|Delivered||normal
